,model_name,fold_idx,accuracy
0,RandomForestClassifier,0,0.7056582118673247
1,RandomForestClassifier,1,0.7056514553300891
2,RandomForestClassifier,2,0.7056514553300891
3,RandomForestClassifier,3,0.7056514553300891
4,RandomForestClassifier,4,0.7056676537428552
5,LinearSVC,0,0.6684494433604958
6,LinearSVC,1,0.6698191167018639
7,LinearSVC,2,0.6718391332292719
8,LinearSVC,3,0.6697502525020659
9,LinearSVC,4,0.669352432109818
10,MultinomialNB,0,0.6911511534488695
11,MultinomialNB,1,0.6930493067670553
12,MultinomialNB,2,0.6927279405013314
13,MultinomialNB,3,0.6939445413644293
14,MultinomialNB,4,0.6940522920827308
15,LogisticRegression,0,0.675817743601515
16,LogisticRegression,1,0.6734000550913598
17,LogisticRegression,2,0.6816408043338537
18,LogisticRegression,3,0.6736066476907538
19,LogisticRegression,4,0.6687785506048711
