,model_name,fold_idx,accuracy
0,RandomForestClassifier,0,0.7055736892120812
1,RandomForestClassifier,1,0.7055736892120812
2,RandomForestClassifier,2,0.7055736892120812
3,RandomForestClassifier,3,0.7055736892120812
4,RandomForestClassifier,4,0.7055736892120812
5,RandomForestClassifier,5,0.7056028427402694
6,RandomForestClassifier,6,0.7056028427402694
7,RandomForestClassifier,7,0.7056028427402694
8,RandomForestClassifier,8,0.705590678071154
9,RandomForestClassifier,9,0.705590678071154
10,LinearSVC,0,0.697186299219105
11,LinearSVC,1,0.6879312481923728
12,LinearSVC,2,0.6926000908978226
13,LinearSVC,3,0.688798909226129
14,LinearSVC,4,0.6893773499152998
15,LinearSVC,5,0.6846954797124205
16,LinearSVC,6,0.6848607553094785
17,LinearSVC,7,0.6872572514668209
18,LinearSVC,8,0.6873682905665055
19,LinearSVC,9,0.6930292136688566
20,MultinomialNB,0,0.7058629095566665
21,MultinomialNB,1,0.7053257860595794
22,MultinomialNB,2,0.7057802751724993
23,MultinomialNB,3,0.7057389579804156
24,MultinomialNB,4,0.7055736892120812
25,MultinomialNB,5,0.7052722915461532
26,MultinomialNB,6,0.7039087678704239
27,MultinomialNB,7,0.7054788860424759
28,MultinomialNB,8,0.7054667162513946
29,MultinomialNB,9,0.7055493574645676
30,LogisticRegression,0,0.6745857951493617
31,LogisticRegression,1,0.6666115770772219
32,LogisticRegression,2,0.6681816303763997
33,LogisticRegression,3,0.6635954220551171
34,LogisticRegression,4,0.6655786472751312
35,LogisticRegression,5,0.6614742583257582
36,LogisticRegression,6,0.6606065614412032
37,LogisticRegression,7,0.6638707544831006
38,LogisticRegression,8,0.664889880583447
39,LogisticRegression,9,0.6704681624726251
